social,likes,createdDate
"facebook",195,2014-12-27T12:06:55Z
"instagram",826,2014-12-27T12:07:08Z
"facebook",195,2014-12-27T13:07:28Z
"instagram",828,2014-12-27T13:07:41Z
"facebook",195,2014-12-27T14:08:01Z
"instagram",829,2014-12-27T14:08:14Z
"facebook",196,2014-12-27T15:08:33Z
"instagram",828,2014-12-27T15:08:46Z
"facebook",196,2014-12-27T16:09:05Z
"instagram",829,2014-12-27T16:09:19Z
"facebook",197,2014-12-27T17:09:39Z
"instagram",829,2014-12-27T17:09:53Z
"facebook",197,2014-12-27T18:10:18Z
"instagram",829,2014-12-27T18:10:44Z
"facebook",197,2014-12-27T19:11:03Z
"instagram",829,2014-12-27T19:11:23Z
"facebook",197,2014-12-27T20:11:56Z
"instagram",830,2014-12-27T20:12:15Z
"facebook",197,2014-12-27T21:12:50Z
"instagram",830,2014-12-27T21:13:03Z
"facebook",198,2014-12-27T22:13:25Z
"instagram",830,2014-12-27T22:13:38Z
"facebook",198,2014-12-27T23:14:00Z
"instagram",830,2014-12-27T23:14:13Z
"facebook",198,2014-12-28T00:14:35Z
"instagram",830,2014-12-28T00:14:48Z
"facebook",198,2014-12-28T01:15:10Z
"instagram",830,2014-12-28T01:15:23Z
"facebook",198,2014-12-28T02:15:40Z
"instagram",830,2014-12-28T02:15:53Z
"facebook",198,2014-12-28T03:16:15Z
"instagram",830,2014-12-28T03:16:28Z
"facebook",198,2014-12-28T04:16:49Z
"instagram",830,2014-12-28T04:17:02Z
"facebook",198,2014-12-28T05:17:24Z
"instagram",830,2014-12-28T05:17:37Z
"facebook",198,2014-12-28T06:17:59Z
"instagram",830,2014-12-28T06:18:12Z
"facebook",199,2014-12-28T07:18:33Z
"instagram",830,2014-12-28T07:18:46Z
"facebook",199,2014-12-28T08:19:07Z
"instagram",830,2014-12-28T08:19:20Z
"facebook",199,2014-12-28T09:19:41Z
"instagram",831,2014-12-28T09:19:54Z
"facebook",200,2014-12-28T10:20:15Z
"facebook",200,2014-12-28T11:20:49Z
"facebook",202,2014-12-28T12:21:23Z
"facebook",202,2014-12-28T13:21:57Z
"facebook",202,2014-12-28T14:22:31Z
"facebook",202,2014-12-28T15:23:05Z
"facebook",202,2014-12-28T16:23:40Z
"facebook",204,2014-12-28T17:24:14Z
"facebook",204,2014-12-28T18:24:49Z
"facebook",206,2014-12-28T19:24:53Z
