username,photosCount,commentsCount,likesCount
"jlenia_semplicementevegan",20,2,26
"dicioteceneuno",0.0,1,26
"mariacosbel",0.0,2,378
"mauriziobogazzi",0.0,1,1
"sweatdailytv",0.0,1,4
"stailuan",0.0,2,1
"mammeallestero",0.0,1,2
"mireia_tarres",0.0,1,3
"fededexter",0.0,1,1
"igersfvg",0.0,1,0.0
"sweetiechiara",0.0,1,0.0
"cinetario",0.0,1,1
"giuliaukah",0.0,1,1
"paola_cucina_per_passione",0.0,2,519
"gianluca_dfg",0.0,1,15
"lorylory69",0.0,1,29
"iboomuniversity",0.0,1,1
"donatellacelot",0.0,2,25
"mariannafossati",0.0,1,1
"canesbocciatore",0.0,1,3
"mi_aax",0.0,2,0.0
"eli_dada",0.0,2,0.0
"doral_travel",0.0,1,0.0
"davigold",22,4,8
"enricopara28",2,4,35
"mariroseph",144,1,20
"timoebasilico",127,84,307
"lucia_basile_jr",9,1,138
"tv_living",0.0,1,18
"alexiapaolini",0.0,1,105
"flaca_sassu",0.0,5,18
"piemontgourmet",0.0,2,1
"martastreet",43,4,55
"showretour",0.0,1,20
"enricalazzarini",0.0,1,4
"nude_nutritionist",0.0,1,10
"tuttiigiornijoe",0.0,2,157
"expo2015milano",21,3,264
"helen_ire",0.0,1,0.0
"sunumdunyasi",0.0,2,3
"xalox90",0.0,1,18
"safy63",0.0,1,3
"chicchi23",0.0,1,7
"kimmytapiablog",0.0,1,14
"bokcaruthers",0.0,1,0.0
"handy_luo",0.0,1,0.0
"reginadotulong",0.0,1,58
"petit_patisserie_",24,32,512
"sundaymorninglight",56,2,49
"dina_in_love",0.0,2,5
"ammonpearce",0.0,1,0.0
"chiarachrizzo",0.0,2,0.0
"regnargc",0.0,1,50
"chiara_mente92",69,27,164
"thatjustaintright",0.0,1,0.0
"dell.de",0.0,1,25
"lacasadellebriciole",41,24,376
"silcre",7,13,22
"regoo_official",0.0,1,2
"curvybust2",0.0,1,0.0
"novella__m",0.0,1,4
"faroos112",0.0,1,0.0
